,,Accuracy,Accuracy,Accuracy,F1,F1,NumFeatures,NumFeatures
,,mean,std,count,mean,std,mean,std
Algorithm,TransferFunction,,,,,,,
bLRRIME-KNN,s1,0.855904761904762,0.09509277031638363,100,0.8605812455518338,0.09313765368261438,47.42,7.281053314853379
bLRRIME-KNN,s2,0.8630476190476191,0.0893210480029475,100,0.8695964541993954,0.08444748692099248,46.55,6.092510719620182
bLRRIME-KNN,s3,0.8666666666666667,0.09139429371873006,100,0.8738308554190907,0.08577620745245575,44.25,5.337829544152215
bLRRIME-KNN,s4,0.8630952380952381,0.09309364192266928,100,0.869977734683617,0.08732304982385557,43.66,5.101435725817436
bLRRIME-KNN,v1,0.9388571428571428,0.05626925612869612,100,0.9404034152122388,0.054787821078871285,3.03,1.1586739198433924
bLRRIME-KNN,v2,0.9381428571428572,0.062266288103864795,100,0.9399509444803563,0.06099249421059711,2.92,1.4047538337136984
bLRRIME-KNN,v3,0.9353809523809524,0.05634871857195952,100,0.9379829778065073,0.053844504356313314,2.83,1.2875079680051569
bLRRIME-KNN,v4,0.9306190476190476,0.06276004788280666,100,0.932825809811104,0.0613754434671324,2.93,3.1726578094332165
